(0, 44, {'colsample_bytree': 0.9469942401995035, 'learning_rate': 0.04729808255925677, 'max_bin': 64, 'max_depth': 2, 'n_estimators': 2000, 'reg_alpha': 2.1950812693940716, 'reg_lambda': 0.13684391145265928}, -0.7688018188971281, 1.1740953922271729)
(0, 45, {'colsample_bytree': 0.40915702948084115, 'learning_rate': 0.1444575216503023, 'max_bin': 32, 'max_depth': 6, 'n_estimators': 1000, 'reg_alpha': 0.04928888877442261, 'reg_lambda': 2.788587950376572}, -0.8233744172971101, 1.0255353450775146)
(0, 46, {'colsample_bytree': 0.86991654659091, 'learning_rate': 0.3935764560115689, 'max_bin': 16, 'max_depth': 2, 'n_estimators': 2000, 'reg_alpha': 0.5448936014761462, 'reg_lambda': 1.5371803898877112}, -1.359614691696506, 0.7009940147399902)
(0, 47, {'colsample_bytree': 0.7804471371881301, 'learning_rate': 0.39477107797751293, 'max_bin': 256, 'max_depth': 3, 'n_estimators': 2000, 'reg_alpha': 2.8847104636244953, 'reg_lambda': 0.6951048794136135}, -0.6985965405437118, 1.0910155773162842)
(0, 48, {'colsample_bytree': 1.1493188224156814, 'learning_rate': 0.4716888523532493, 'max_bin': 256, 'max_depth': 6, 'n_estimators': 1000, 'reg_alpha': 2.125644450060009, 'reg_lambda': 1.4944206765224102}, -0.6414065177730697, 1.165595531463623)
(0, 49, {'colsample_bytree': 1.0445500794719424, 'learning_rate': 0.0981711114714916, 'max_bin': 128, 'max_depth': 3, 'n_estimators': 5000, 'reg_alpha': 0.4444225828444951, 'reg_lambda': 2.9454881694547597}, -0.6743489934917903, 2.704763412475586)
(0, 50, {'colsample_bytree': 0.678370307039988, 'learning_rate': 0.24969568274933135, 'max_bin': 32, 'max_depth': 2, 'n_estimators': 5000, 'reg_alpha': 0.4107008150567968, 'reg_lambda': 2.466353199582737}, -0.7901319129914077, 1.907703161239624)
(0, 51, {'colsample_bytree': 0.38984791190275797, 'learning_rate': 0.256659491273228, 'max_bin': 64, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 1.2183614789439332, 'reg_lambda': 1.7076322802808765}, -1.437785484160193, 0.05451846122741699)
(0, 52, {'colsample_bytree': 0.5436055031480986, 'learning_rate': 0.39543638885973204, 'max_bin': 1024, 'max_depth': 5, 'n_estimators': 5000, 'reg_alpha': 0.9994354560859258, 'reg_lambda': 0.2433041699639903}, -0.6966183699888183, 5.34166145324707)
(0, 53, {'colsample_bytree': 0.6072411714138073, 'learning_rate': 0.11711707108547137, 'max_bin': 128, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 2.858612017160528, 'reg_lambda': 0.04184518780024604}, -0.7408857576859699, 0.0944371223449707)
(0, 54, {'colsample_bytree': 0.7334656817509289, 'learning_rate': 0.15329101533795386, 'max_bin': 256, 'max_depth': 4, 'n_estimators': 1000, 'reg_alpha': 0.26880910271581615, 'reg_lambda': 2.0161434220617434}, -0.6108773235478461, 0.6791794300079346)
(0, 55, {'colsample_bytree': 0.4453672098528448, 'learning_rate': 0.21126973334004923, 'max_bin': 1024, 'max_depth': 5, 'n_estimators': 2000, 'reg_alpha': 1.1371013163114545, 'reg_lambda': 0.28964882948237425}, -0.6653261331490555, 2.1712279319763184)
(0, 56, {'colsample_bytree': 0.4561395774147123, 'learning_rate': 0.29696757909422483, 'max_bin': 16, 'max_depth': 5, 'n_estimators': 1000, 'reg_alpha': 1.3755436567099517, 'reg_lambda': 1.5737778622645437}, -1.1316425842146303, 0.8011879920959473)
(0, 57, {'colsample_bytree': 0.6420153177948702, 'learning_rate': 0.42731746189117, 'max_bin': 256, 'max_depth': 5, 'n_estimators': 1000, 'reg_alpha': 1.5280261961045603, 'reg_lambda': 0.2591309411119237}, -0.7159773528991583, 0.8519632816314697)
(0, 58, {'colsample_bytree': 0.860039862222949, 'learning_rate': 0.10429730353763472, 'max_bin': 16, 'max_depth': 5, 'n_estimators': 5000, 'reg_alpha': 0.5351020479309515, 'reg_lambda': 0.20957705201803822}, -1.0838128431423613, 4.047229051589966)
(0, 59, {'colsample_bytree': 0.20968817079679586, 'learning_rate': 0.44702482904066443, 'max_bin': 128, 'max_depth': 2, 'n_estimators': 100, 'reg_alpha': 2.775490277512646, 'reg_lambda': 2.145536246891228}, -2.182163615830979, 0.040239572525024414)
(0, 60, {'colsample_bytree': 0.690818612850878, 'learning_rate': 0.23574915146393755, 'max_bin': 16, 'max_depth': 5, 'n_estimators': 2000, 'reg_alpha': 1.7326288464941264, 'reg_lambda': 2.8783000225002753}, -1.1013843287098342, 1.5417580604553223)
(0, 61, {'colsample_bytree': 0.8455702444560038, 'learning_rate': 0.01868121787774546, 'max_bin': 64, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 1.608532484110356, 'reg_lambda': 2.0441775318115134}, -3.3164328639595104, 0.05268502235412598)
(0, 62, {'colsample_bytree': 0.4775960977317661, 'learning_rate': 0.0654302827331601, 'max_bin': 32, 'max_depth': 6, 'n_estimators': 1000, 'reg_alpha': 0.388237012266754, 'reg_lambda': 1.7367671626166836}, -0.753950316553792, 0.9329845905303955)
(0, 63, {'colsample_bytree': 0.29226017040693325, 'learning_rate': 0.4562723611967318, 'max_bin': 64, 'max_depth': 5, 'n_estimators': 1000, 'reg_alpha': 2.1725029098346296, 'reg_lambda': 1.1970759651093061}, -0.8236528029783318, 0.775916337966919)
(0, 64, {'colsample_bytree': 1.1040443929009578, 'learning_rate': 0.3460125100956137, 'max_bin': 64, 'max_depth': 5, 'n_estimators': 2000, 'reg_alpha': 2.148732522654056, 'reg_lambda': 0.08120695433157032}, -0.6752187812308734, 1.74180006980896)
(0, 65, {'colsample_bytree': 0.9313973399998268, 'learning_rate': 0.3844817527254627, 'max_bin': 64, 'max_depth': 5, 'n_estimators': 1000, 'reg_alpha': 2.8774998091056676, 'reg_lambda': 1.3744164817801285}, -0.6739146525559824, 0.7887425422668457)
(0, 66, {'colsample_bytree': 0.7909841653236849, 'learning_rate': 0.4298613220967773, 'max_bin': 1024, 'max_depth': 5, 'n_estimators': 2000, 'reg_alpha': 1.7272534861346172, 'reg_lambda': 2.462301362103945}, -0.6554332377854284, 2.2028491497039795)
(0, 67, {'colsample_bytree': 1.1088437184127384, 'learning_rate': 0.4087619093842844, 'max_bin': 512, 'max_depth': 5, 'n_estimators': 2000, 'reg_alpha': 1.9008236691005733, 'reg_lambda': 2.847892419905505}, -0.6365857705817443, 2.070326805114746)
(0, 68, {'colsample_bytree': 1.1367464737894553, 'learning_rate': 0.22468914730356654, 'max_bin': 32, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 0.09991387964008858, 'reg_lambda': 2.8769481655904205}, -0.7063559550376648, 0.10454010963439941)
(0, 69, {'colsample_bytree': 0.5553688484719297, 'learning_rate': 0.17935344520127144, 'max_bin': 64, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 2.5360730454607197, 'reg_lambda': 1.6088236331036256}, -0.7211307395906896, 0.08428764343261719)
(0, 70, {'colsample_bytree': 0.8802701510460296, 'learning_rate': 0.305588790779194, 'max_bin': 256, 'max_depth': 5, 'n_estimators': 5000, 'reg_alpha': 0.9801026453047802, 'reg_lambda': 0.6982323878371706}, -0.6473843803348636, 5.023178577423096)
(0, 71, {'colsample_bytree': 0.8144647064768744, 'learning_rate': 0.01753729573775281, 'max_bin': 256, 'max_depth': 6, 'n_estimators': 2000, 'reg_alpha': 1.9494959205703601, 'reg_lambda': 1.633772632150523}, -0.598364241993291, 2.197296380996704)
(0, 72, {'colsample_bytree': 0.23246529565126378, 'learning_rate': 0.2910758581354886, 'max_bin': 512, 'max_depth': 5, 'n_estimators': 5000, 'reg_alpha': 0.03610866869296281, 'reg_lambda': 0.34645289141624425}, -0.9308289164069856, 19.36447834968567)
(0, 73, {'colsample_bytree': 0.8184802595127478, 'learning_rate': 0.48812810640902515, 'max_bin': 512, 'max_depth': 2, 'n_estimators': 1000, 'reg_alpha': 1.916285272099588, 'reg_lambda': 1.4709160396462115}, -0.7246007992136004, 0.44161343574523926)
(0, 74, {'colsample_bytree': 1.1894097772844314, 'learning_rate': 0.0336521035758901, 'max_bin': 64, 'max_depth': 4, 'n_estimators': 5000, 'reg_alpha': 0.21134155783247832, 'reg_lambda': 2.050718881096793}, -0.6285639446592514, 3.2471024990081787)
(0, 75, {'colsample_bytree': 0.5807292449926076, 'learning_rate': 0.31796547815896237, 'max_bin': 128, 'max_depth': 4, 'n_estimators': 5000, 'reg_alpha': 1.2722669653075478, 'reg_lambda': 1.6640634259842568}, -0.7096548377839573, 3.4116556644439697)
(0, 76, {'colsample_bytree': 0.48705151991962975, 'learning_rate': 0.35428735313648946, 'max_bin': 64, 'max_depth': 4, 'n_estimators': 100, 'reg_alpha': 2.485970743667213, 'reg_lambda': 2.7749007358595765}, -0.728625362330067, 0.06833052635192871)
(0, 77, {'colsample_bytree': 0.24600731088729694, 'learning_rate': 0.11731349641488276, 'max_bin': 256, 'max_depth': 4, 'n_estimators': 1000, 'reg_alpha': 0.7717004564141801, 'reg_lambda': 1.1452794217088453}, -0.9364472717440561, 0.6294536590576172)
(0, 78, {'colsample_bytree': 0.8971416168283548, 'learning_rate': 0.44953505230157176, 'max_bin': 512, 'max_depth': 5, 'n_estimators': 2000, 'reg_alpha': 0.7482601231693536, 'reg_lambda': 0.3177184646466966}, -0.7031583966476871, 1.898690938949585)
(0, 79, {'colsample_bytree': 1.150952611055394, 'learning_rate': 0.11771012773404815, 'max_bin': 1024, 'max_depth': 2, 'n_estimators': 2000, 'reg_alpha': 2.1921272973824286, 'reg_lambda': 2.645160637001519}, -0.6917648450756697, 1.1257731914520264)
(0, 80, {'colsample_bytree': 0.4724368954659625, 'learning_rate': 0.19052844803871427, 'max_bin': 32, 'max_depth': 2, 'n_estimators': 100, 'reg_alpha': 0.7134217276171165, 'reg_lambda': 0.515559297142929}, -2.2175456654484464, 0.04104185104370117)
(0, 81, {'colsample_bytree': 0.649291648687738, 'learning_rate': 0.15323420368865975, 'max_bin': 512, 'max_depth': 6, 'n_estimators': 1000, 'reg_alpha': 2.215171013080838, 'reg_lambda': 1.6660837890785245}, -0.6171712176531602, 1.3417375087738037)
(0, 82, {'colsample_bytree': 0.40151771332321834, 'learning_rate': 0.27525954813990516, 'max_bin': 1024, 'max_depth': 5, 'n_estimators': 2000, 'reg_alpha': 0.0738598711693671, 'reg_lambda': 0.44648791032952573}, -0.7418036130005112, 2.0499982833862305)
(0, 83, {'colsample_bytree': 0.33185203816295256, 'learning_rate': 0.35495873133771744, 'max_bin': 256, 'max_depth': 4, 'n_estimators': 5000, 'reg_alpha': 0.8783820943215566, 'reg_lambda': 0.4570641170631914}, -0.7880482022571282, 3.828364372253418)
(0, 84, {'colsample_bytree': 0.6174863747960118, 'learning_rate': 0.06664466423662802, 'max_bin': 32, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 2.88077035312472, 'reg_lambda': 0.2173033423973919}, -2.170197146780838, 0.07677364349365234)
(0, 85, {'colsample_bytree': 0.21930060645107102, 'learning_rate': 0.4907866259322448, 'max_bin': 32, 'max_depth': 2, 'n_estimators': 2000, 'reg_alpha': 1.2202000375072448, 'reg_lambda': 1.6562348300759124}, -1.8262428593383098, 0.6940872669219971)
(0, 86, {'colsample_bytree': 0.4716527676061459, 'learning_rate': 0.2287220747250135, 'max_bin': 1024, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 2.664131116253131, 'reg_lambda': 2.12582651474433}, -0.6824370390683852, 0.1405506134033203)
(0, 87, {'colsample_bytree': 0.4777736736315105, 'learning_rate': 0.44843159608904437, 'max_bin': 64, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 1.000522397373826, 'reg_lambda': 2.7724762998622907}, -0.6883317003810617, 0.0820915699005127)
(0, 88, {'colsample_bytree': 1.0623185468359024, 'learning_rate': 0.02534514798776427, 'max_bin': 128, 'max_depth': 3, 'n_estimators': 2000, 'reg_alpha': 2.667699965193001, 'reg_lambda': 1.5373549762772614}, -0.6798396926259417, 0.981130838394165)
(0, 89, {'colsample_bytree': 0.71062890693618, 'learning_rate': 0.19441357678366628, 'max_bin': 16, 'max_depth': 6, 'n_estimators': 1000, 'reg_alpha': 2.131585208167037, 'reg_lambda': 0.6147710608791053}, -1.1077567198130003, 0.9747405052185059)
(0, 90, {'colsample_bytree': 0.5416981148647322, 'learning_rate': 0.33912124113873143, 'max_bin': 256, 'max_depth': 3, 'n_estimators': 2000, 'reg_alpha': 2.5689089305006396, 'reg_lambda': 1.9051703969464486}, -0.6828254315602564, 1.1567654609680176)
(0, 91, {'colsample_bytree': 0.4996434942475267, 'learning_rate': 0.2311098531956936, 'max_bin': 1024, 'max_depth': 4, 'n_estimators': 2000, 'reg_alpha': 2.766334385301579, 'reg_lambda': 0.2684836350987003}, -0.6570046556570739, 1.5978515148162842)
(0, 92, {'colsample_bytree': 0.6059423219682838, 'learning_rate': 0.013156599855078888, 'max_bin': 256, 'max_depth': 5, 'n_estimators': 1000, 'reg_alpha': 0.8372038446857951, 'reg_lambda': 0.6292498489669053}, -0.7733369600723871, 0.9112155437469482)
(0, 93, {'colsample_bytree': 0.31570323332709366, 'learning_rate': 0.2895701220101709, 'max_bin': 64, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 2.1724435452117254, 'reg_lambda': 1.1666022912272038}, -0.6945704312102753, 0.47092437744140625)
(0, 94, {'colsample_bytree': 0.4270839709579695, 'learning_rate': 0.22842993980792248, 'max_bin': 16, 'max_depth': 4, 'n_estimators': 2000, 'reg_alpha': 2.8883109595207275, 'reg_lambda': 0.05061502011011909}, -1.3055165207855168, 1.4337809085845947)
(0, 95, {'colsample_bytree': 0.8964824307014501, 'learning_rate': 0.4078393248509317, 'max_bin': 16, 'max_depth': 2, 'n_estimators': 100, 'reg_alpha': 0.08730004260331725, 'reg_lambda': 2.758594306496745}, -2.210979986336217, 0.041553497314453125)
(0, 96, {'colsample_bytree': 0.7424570027145418, 'learning_rate': 0.49657082548719783, 'max_bin': 1024, 'max_depth': 5, 'n_estimators': 1000, 'reg_alpha': 1.3830204880481847, 'reg_lambda': 2.480472640923445}, -0.678304737313883, 1.188145637512207)
(0, 97, {'colsample_bytree': 0.7391182349867722, 'learning_rate': 0.44463241973132184, 'max_bin': 32, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.4003844128048033, 'reg_lambda': 2.9417403983618473}, -0.7591327442840747, 0.10117006301879883)
(0, 98, {'colsample_bytree': 1.0717857347554929, 'learning_rate': 0.252360380572662, 'max_bin': 64, 'max_depth': 6, 'n_estimators': 5000, 'reg_alpha': 0.3627580834174021, 'reg_lambda': 2.042091716004104}, -0.6443239967734817, 5.263702154159546)
(0, 99, {'colsample_bytree': 0.48711926168416747, 'learning_rate': 0.022488204299594472, 'max_bin': 16, 'max_depth': 2, 'n_estimators': 100, 'reg_alpha': 1.1674040313035574, 'reg_lambda': 2.8564280918862623}, -4.153067727295198, 0.049234628677368164)
(0, 100, {'colsample_bytree': 0.5000289194759295, 'learning_rate': 0.08123382194380052, 'max_bin': 1024, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.7141305709155407, 'reg_lambda': 1.7426618224433912}, -2.222746311193503, 0.06918764114379883)
(0, 101, {'colsample_bytree': 0.3458701540612989, 'learning_rate': 0.16881548947194125, 'max_bin': 512, 'max_depth': 4, 'n_estimators': 2000, 'reg_alpha': 2.7329819630250056, 'reg_lambda': 2.6354778715882192}, -0.6677497692331318, 1.5747570991516113)
(0, 102, {'colsample_bytree': 0.634155576377692, 'learning_rate': 0.25980605005129626, 'max_bin': 1024, 'max_depth': 4, 'n_estimators': 2000, 'reg_alpha': 2.6941870716412053, 'reg_lambda': 2.017746933889564}, -0.630470625570857, 1.9037656784057617)
